TOKEN|MORPH ANALYSIS|UPOS
Ukwengeza|u-kw-engez-a|V
kulokhu|ku-lokhu|CDEM
,|,|PUNC
imibandela|i-mi-bandela|N
iyenziwa|i-ye-enz-iw-a|V
ukwakha|u-kw-akh-a|V
amakomiti|a-ma-komiti|N
amawadi|a-ma-wadi|N
,|,|PUNC
njengezinhlangano|njenga-i-zin-hlangano|ADV
ezelulekayo|ezi-lulek-a-yo|REL
,|,|PUNC
lawa|lawa|CDEM
maqembu|ma-qembu|N
ahlanganisa|a-hlangan-is-a|V
abamele|aba-mel-e|REL
umasipala|u-masipala|N
kanye|ka-nye|ADV
nomphakathi|no-u-mu-phakathi|ADV
ukuba|ukuba|CONJ
badlulise|ba-dlul-is-e|V
izidingo|i-zi-dingo|N
zomphakathi|zo-u-mu-phakathi|POSS
kanye|ka-nye|ADV
neziphakamiso|ne-i-zi-phakamiso|ADV
ziye|zi-y-e|V
kumkhandlu|ku-m-khandlu|N
.|.|PUNC
Indlela|i-n-dlela|N
esebenza|e-sebenz-a|REL
ngakubili|ngaku-bili|ADV
yewadi|ya-i-wadi|POSS
kanye|ka-nye|ADV
nokumela|no-ku-mel-a|V
ngokulingana|nga-u-ku-lingana|ADV
kusho|ku-sho|N
ukuthi|u-ku-th-i|V
imiphakathi|i-mi-phakathi|N
ikhethe|i-kheth-e|V
ngqo|ngqo|IDEO
abayimele|aba-yi-mel-e|REL
abanesibopho|aba-ne-si-bopho|REL
kubo|ku-bo|PRO
ukuba|ukuba|CONJ
badlulise|ba-dlul-is-e|V
futhi|futhi|CONJ
babike|ba-bik-e|V
ukukhathazeka|u-ku-khathaz-ek-a|V
kwabo|kwa-bo|POSS
.|.|PUNC

Chaza|chaz-a|V
izindlela|i-zin-dlela|N
ezahlukene|ezi-ahluk-an-il-e|REL
zokubhekana|za-u-ku-bhek-an-a|POSS
nengxabano|na-i-ngxabano|ADV
.|.|PUNC

Ukongela|U-ku-ong-el-a|V
umhlalaphansi|umhlalaphansi|N
negebe|na-igebe|ADV
lobungozi|la-u-bu-ngozi|POSS
benzuzo|ba-i-nzuzo|POSS
kumele|ku-mel-e|V
kuvalwe|ku-val-w-e|V
ngezinguquko|nga-i-zin-guquko|ADV
kubandakanya|ku-bandakany-a|V
neminikelo|na-i-mi-nikelo|ADV
okumele|oku-m-el-e|REL
ifakwe|i-fak-w-e|V
,|,|PUNC
kubhekelelwe|ku-bhek-elel-w-e|V
kakhulu|ka-khulu|ADV
ekuxhaseni|e-kuxhas-a-ini|REL
leyo|leyo|CDEM
minikelo|mi-nikelo|N
kulabo|ku-labo|CDEM
abahola|aba-hol-a|REL
kancane|ka-ncane|ADV
noma|noma|CONJ
abasebenza|aba-sebenz-a|REL
izikhathi|i-zi-khathi|N
ezithile|ezi-thile|REL
.|.|PUNC

Imithombo|i-mi-thombo|N
yangaphakathi|ya-nga-phakathi|POSS
:|:|PUNC
eyenziwa|e-yi-enz-iw-a|REL
ngumasipala|ng-u-masipala|COP
qobo|qobo|N
lwakhe|lu-akh-e|V
,|,|PUNC
isib.|isib.|ABBR
izintela|i-zin-tela|N
zikamasipala|zi-ka-masipala|POSS
nemisebenzi|na-i-mi-sebenzi|ADV
enjengokuqashiswa|e-njengango-u-ku-qash-is-w-a|REL
kwezakhiwo|kwa-i-zi-akhiwo|POSS
kanye|ka-nye|ADV
nezinkokhelo|na-i-zin-kokhelo|N
namanani|na-a-ma-nani|ADV
komsebenzisi|ku-m-sebenzisi|POSS
.|.|PUNC

Ukuhlelwa|u-ku-hlel-w-a|V
kokulandelana|kwa-u-ku-landel-an-a|POSS
kwezigigaba|kwa-i-zi-gigaba|POSS
zomphakathi|za-u-m-phakathi|POSS
,|,|PUNC
ukuhlaziywa|u-ku-hlaziy-w-a|V
kwezimo|kwa-i-zi-mo|POSS
zezikhathi|za-i-zi-khathi|POSS
zonyaka|za-u-nyaka|POSS
nezesikhathi|na-i-za-i-si-khathi|ADV
eside|esi-de|ADJ
kwenza|ku-enz-a|V
kube|ku-be|V
lula|lula|ADV
ukuba|ukuba|CONJ
umphakathi|u-m-phakathi|ADV
uhlonze|u-hlonz-e|V
ukuthi|ukuthi|CONJ
kuyini|ku-yi-ni|COP
okuletha|oku-leth-a|REL
intuthuko|i-ntuthuko|N
kuwenze|ku-wu-enz-e|V
ukwazi|u-ku-azi|N
ukuhlonza|u-ku-hlonz-a|V
uhlaziye|u-hlaziy-e|V
impumelelo|i-m-pumelelo|N
noma|noma|CONJ
ukungabi|u-ku-nga-bi|V
nagalelo|na-i-galelo|ADV
kwezinhlobo|kwa-i-zin-hlobo|POSS
zokungenelela|za-u-ku-ngen-el-el-a|POSS
emizamweni|e-i-mi-zamo-ini|N
yokuqhubezela|ya-u-ku-qhubezel-a|POSS
intuthuko|i-ntuthuko|N
yomphakathi|yo-m-phakathi|POSS
.|.|PUNC
Umdwebo|u-m-dwebo|N
kaVenn|ka-Venn|POSS
,|,|PUNC
ukuhlaziywa|u-ku-hlaziy-w-a|V
kwezindlela|kwa-i-zin-dlela|POSS
zokuziphilisa|za-u-ku-zi-phil-is-a|POSS
,|,|PUNC
imisebenzi|i-mi-sebenzi|N
yokwenza|ya-u-ku-enz-a|POSS
amabalazwe|a-ma-balazwe|N
nokunqamula|na-u-ku-nqamul-a|ADV
izindawo|i-zin-dawo|N
zibe|zi-be|V
yiziqephu|y-i-zi-qephu|COP
kukhipha|ku-khiph-a|V
isithombe|i-si-thombe|N
sesimo|sa-i-si-mo|POSS
samanje|sa-manje|POSS
somphakathi|sa-u-m-phakathi|POSS
,|,|PUNC
kuqhakambise|ku-qhakambis-e|V
izimo|i-zi-mo|N
zendawo|ze-n-dawo|POSS
,|,|PUNC
kusize|ku-siz-e|V
ekuhlaziyeni|e-ku-hlaziy-a-ini|V
izindlela|i-zin-dlela|N
zokuziphilisa|za-u-ku-zi-phil-is-a|POSS
nezidingo|na-i-zi-dingo|ADV
zomphakathi|za-u-m-phakathi|POSS
.|.|PUNC

Ukuqaphela|u-ku-qaph-el-a|V
inqubekelaphambili|i-n-qubekelaphambili|N
yephrojekthi|ya-i-phrojekthi|POSS
kusemqoka|ku-s-e-m-qoka|N
ukuqinisekisa|u-ku-qinisek-is-a|V
ukuthi|u-ku-th-i|V
ihlala|i-hlal-a|V
isesimeni|i-s-e-simeni|N
esifanele|esi-fanel-e|REL
nokuthi|na-ku-th-i|ADV
ubungozi|u-bu-ngozi|N
noma|noma|CONJ
izinguquko|i-zin-guquko|N
ezintsha|ezin-sha|ADJ
ziyaqashelwa|zi-ya-qaph-el-w-a|V
bese|be-se|V
ziyalandelelwa|zi-ya-landel-el-w-a|V
ekusetshenzisweni|e-ku-sebenz-is-w-a-ini|V
kwazo|kwa-zo|POSS
kamuva|ka-mu-va|ADV
.|.|PUNC
Amathimba|a-ma-thimba|N
amaphrojekthi|a-ma-phrojekthi|N
asebenzisa|a-sebenz-is-a|V
izinkomba|i-zin-khomb-a|V
ukuze|ukuze|CONJ
aqaphele|a-qaphel-e|REL
inqubekelaphambili|i-n-qubekelaphambili|N
.|.|PUNC
Izinkomba|i-zin-khomba|N
zingokuhlosiwe|zi-ng-oku-hlos-iw-e|V
okukhombisa|oku-khomb-is-a|REL
ukuthi|ukuthi|CONJ
ngabe|ngabe|CONJ
izinjongo|i-zin-jongo|N
zifeziwe|zi-fez-iw-e|V
yini|yini|INT
